inspection_id,address,latitude,longitude,location,city,state,zip
2261960,1350-1358- E 47TH ST,41.8097920410891,-87.59309107391604,"(41.8097920410891, -87.59309107391604)",CHICAGO,IL,60653
2098383,500 N MILWAUKEE AVE,41.89114627169734,-87.64777460811625,"(41.89114627169734, -87.64777460811625)",CHICAGO,IL,60642
2240721,3625 S Hoyne,41.8276402,-87.6773181,"(41.8276402,-87.6773181)",CHICAGO,IL,60609
2240470,3625 S Hoyne,41.8276402,-87.6773181,"(41.8276402,-87.6773181)",CHICAGO,IL,60609
2232851,5208 N LINCOLN AVE AVE,41.97626169999999,-87.6928181,"(41.97626169999999,-87.6928181)",CHICAGO,IL,60625
2240366,1401 S CALIFORNIA AVE,41.8622623,-87.6951383,"(41.8622623,-87.6951383)",CHICAGO,IL,60608
2233206,1010 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2232359,7037 S Rhodes AVE,41.7666885,-87.6113124,"(41.7666885,-87.6113124)",CHICAGO,IL,60637
2230179,1148 N MILWAUKEE AVE,41.90249586026425,-87.66535770275132,"(41.90249586026425, -87.66535770275132)",CHICAGO,IL,60642
2232880,2911 W W 47TH ST,41.8076606,-87.697469,"(41.8076606,-87.697469)",CHICAGO,IL,60632
2229372,211`7 W FARRAGUT AVE,41.9769295,-87.6803794,"(41.9769295,-87.6803794)",CHICAGO,IL,60625
2232835,5255 S State ST,41.7995035,-87.625015,"(41.7995035,-87.625015)",CHICAGO,IL,60609
2240860,3625 S Hoyne,41.8276402,-87.6773181,"(41.8276402,-87.6773181)",CHICAGO,IL,60609
2223113,5415 S Union AVE,41.7957456,-87.641884,"(41.7957456,-87.641884)",CHICAGO,IL,60609
2232920,5208 N LINCOLN AVE AVE,41.97626169999999,-87.6928181,"(41.97626169999999,-87.6928181)",CHICAGO,IL,60625
2060038,950 ESTES CT,42.0027309,-88.1025879,"(42.0027309,-88.1025879)",SCHAUMBURG,IL,60193
2229236,13100 S Doty,41.6755502,-87.6017907,"(41.6755502,-87.6017907)",CHICAGO,IL,60827
2229315,4000 N O'HARE FIELD,41.9802588,-87.9089858,"(41.9802588,-87.9089858)",CHICAGO,IL,60666
2240362,5114 S Elizabeth ST,41.8000688,-87.6565647,"(41.8000688,-87.6565647)",CHICAGO,IL,60609
2214098,150 RIVERSIDE PLZ,41.8825427,-87.638745,"(41.8825427,-87.638745)",CHICAGO,IL,60606
2240337,379 LUELLA AVE,41.6260319,-87.5674821,"(41.6260319,-87.5674821)",CALUMET CITY,IL,60409
2243252,6657 S Kimbark AVE,41.7737472,-87.5940266,"(41.7737472,-87.5940266)",CHICAGO,IL,60637
2222245,400 E WATER ST,41.8866527,-87.6168349,"(41.8866527,-87.6168349)",CHICAGO,IL,60601
2185028,8756 S COMMERICAL AVE,41.7358618,-87.55158630000001,"(41.7358618,-87.55158630000001)",CHICAGO,IL,60617
2222446,950 ESTES CT,42.0027309,-88.1025879,"(42.0027309,-88.1025879)",SCHAUMBURG,IL,60193
2200428,4471 W LAWRENCE AVE,41.96799335620968,-87.74072634914224,"(41.96799335620968, -87.74072634914224)",CHICAGO,IL,60630
2370134,1148 N MILWAUKEE AVE,41.90249586026425,-87.66535770275132,"(41.90249586026425, -87.66535770275132)",CHICAGO,IL,60642
2222390,1017 S DELANO CT,41.8682202,-87.6328072,"(41.8682202,-87.6328072)",CHICAGO,IL,60605
2200316,25553 WOLFS CROSSING RD,41.6985586,-88.2440551,"(41.6985586,-88.2440551)",PLAINFIELD,IL,60585
